date,fac_b,total_vehicles,cash,ezpass,violation,autos,small_t,large_t,buses,violationrate,avg_speed,delta,awnd,prcp,snow,snwd,tmax,tmin,severe_event_count,severe_flag,gas_price,ezpass_ratio,high_violation
1/1/2015,Bayonne,3991,673,3222,96,3948,20,16,7,0.024054122,null,null,12.53,0,0,0,39,20,0,0,null,0.807316462,0
1/1/2015,GWB Lower,38009,6818,29071,2120,37844,13,4,148,0.055776264,null,null,12.53,0,0,0,39,20,0,0,null,0.764845168,0
1/1/2015,GWB PIP,13351,1618,11323,410,13328,7,0,16,0.03070931,null,null,12.53,0,0,0,39,20,0,0,null,0.848101266,0
1/1/2015,GWB Upper,50512,15238,34261,1013,47930,488,1692,402,0.02005464,null,null,12.53,0,0,0,39,20,0,0,null,0.678274469,0
1/1/2015,Goethals,28277,5934,21741,602,27818,198,209,52,0.021289387,null,null,12.53,0,0,0,39,20,0,0,null,0.768858083,0
1/1/2015,Holland,31786,8111,22993,682,31309,231,1,245,0.021455987,null,null,12.53,0,0,0,39,20,0,0,null,0.723368779,0
1/1/2015,Lincoln,36025,8098,27102,825,32538,340,97,3050,0.022900763,null,null,12.53,0,0,0,39,20,0,0,null,0.752310895,0
1/1/2015,Outerbridge,29349,3881,24574,894,28886,163,228,72,0.030461004,null,null,12.53,0,0,0,39,20,0,0,null,0.837302804,0
1/2/2015,Bayonne,7506,846,6468,192,6888,284,286,48,0.025579536,null,null,10.51,0,0,0,44,31,0,0,null,0.861710631,0
1/2/2015,GWB Lower,51005,9196,39794,2015,50673,84,13,235,0.039505931,null,null,10.51,0,0,0,44,31,0,0,null,0.78019802,0
1/2/2015,GWB PIP,18284,2102,15674,508,18249,8,0,27,0.027783855,null,null,10.51,0,0,0,44,31,0,0,null,0.857252242,0
1/2/2015,GWB Upper,59426,14298,43739,1390,50360,3147,5215,704,0.023390435,null,null,10.51,0,0,0,44,31,0,0,null,0.736024636,0
1/2/2015,Goethals,37857,6556,30255,1046,34461,1227,1856,313,0.027630293,null,null,10.51,0,0,0,44,31,0,0,null,0.799191695,0
1/2/2015,Holland,40554,9160,30389,1005,38893,1139,21,501,0.024781772,null,null,10.51,0,0,0,44,31,0,0,null,0.74934655,0
1/2/2015,Lincoln,48072,8487,38430,1155,39215,2147,425,6285,0.02402646,null,null,10.51,0,0,0,44,31,0,0,null,0.799425861,0
1/2/2015,Outerbridge,37478,4383,31755,1340,35308,868,1199,103,0.035754309,null,null,10.51,0,0,0,44,31,0,0,null,0.847297081,0
1/3/2015,Bayonne,5265,816,4340,109,5057,136,43,29,0.020702754,null,null,6.93,0.79,0.6,0,39,26,3,1,null,0.824311491,0
1/3/2015,GWB Lower,45578,8406,35152,2020,45316,60,17,185,0.044319628,null,null,6.93,0.79,0.6,0,39,26,3,1,null,0.771249287,0
1/3/2015,GWB PIP,14952,1680,12845,427,14925,11,0,16,0.028558052,null,null,6.93,0.79,0.6,0,39,26,3,1,null,0.859082397,0
1/3/2015,GWB Upper,57462,15573,40715,1174,52537,1527,2809,589,0.020430893,null,null,6.93,0.79,0.6,0,39,26,3,1,null,0.708555219,0
1/3/2015,Goethals,34662,6786,27033,843,33448,562,556,96,0.024320582,null,null,6.93,0.79,0.6,0,39,26,3,1,null,0.779903064,0
1/3/2015,Holland,38062,9040,28272,750,37197,554,7,304,0.019704692,null,null,6.93,0.79,0.6,0,39,26,3,1,null,0.742788083,0
1/3/2015,Lincoln,44475,8428,34968,1079,39911,1001,187,3376,0.024260821,null,null,6.93,0.79,0.6,0,39,26,3,1,null,0.78623946,0
1/3/2015,Outerbridge,34467,4581,28766,1120,33291,478,610,88,0.03249485,null,null,6.93,0.79,0.6,0,39,26,3,1,null,0.83459541,0
1/4/2015,Bayonne,4548,660,3777,111,4463,43,29,13,0.024406332,null,null,10.29,0.27,0,0,56,39,7,1,null,0.830474934,0
1/4/2015,GWB Lower,45141,8393,34980,1768,44845,38,8,250,0.039166168,null,null,10.29,0.27,0,0,56,39,7,1,null,0.774905297,0
1/4/2015,GWB PIP,17101,1839,14778,484,17076,5,1,19,0.028302438,null,null,10.29,0.27,0,0,56,39,7,1,null,0.864159991,0
1/4/2015,GWB Upper,56137,15798,39200,1141,52502,658,2517,460,0.020325276,null,null,10.29,0.27,0,0,56,39,7,1,null,0.698291679,0
1/4/2015,Goethals,34038,6820,26407,811,33245,300,385,108,0.023826312,null,null,10.29,0.27,0,0,56,39,7,1,null,0.77580939,0
1/4/2015,Holland,36345,8797,26829,719,35865,223,4,253,0.019782639,null,null,10.29,0.27,0,0,56,39,7,1,null,0.738175815,0
1/4/2015,Lincoln,41784,7657,33364,763,38289,434,114,2947,0.018260578,null,null,10.29,0.27,0,0,56,39,7,1,null,0.798487459,0
1/4/2015,Outerbridge,31794,4410,26363,1021,31186,198,322,88,0.032112977,null,null,10.29,0.27,0,0,56,39,7,1,null,0.829181607,0
1/5/2015,Bayonne,7858,702,6984,172,7163,329,324,42,0.021888521,null,null,19.24,0,0,0,48,20,0,0,null,0.88877577,0
1/5/2015,GWB Lower,49242,6688,40794,1760,48886,100,15,241,0.035741846,null,null,19.24,0,0,0,48,20,0,0,null,0.828439137,0
1/5/2015,GWB PIP,18555,1549,16528,478,18479,12,1,63,0.02576125,null,null,19.24,0,0,0,48,20,0,0,null,0.890757208,0
1/5/2015,GWB Upper,55183,10657,43262,1265,43426,4011,6974,772,0.022923727,null,null,19.24,0,0,0,48,20,0,0,null,0.783973325,0
1/5/2015,Goethals,35912,5214,29653,1045,31849,1568,2123,372,0.029098908,null,null,19.24,0,0,0,48,20,0,0,null,0.825712854,0
1/5/2015,Holland,38637,7094,30743,800,36711,1329,17,580,0.020705541,null,null,19.24,0,0,0,48,20,0,0,null,0.795688071,0
1/5/2015,Lincoln,45705,5664,38942,1100,35808,2570,496,6831,0.024067389,null,null,19.24,0,0,0,48,20,0,0,null,0.852029318,0
1/5/2015,Outerbridge,34811,3388,30147,1276,32168,1091,1459,93,0.03665508,null,null,19.24,0,0,0,48,20,0,0,null,0.866019362,0
